URL,Source,Brand,Product_ID,Product_Title,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4
https://www.amazon.sg/Xerox-6110MFP-Multi-Function-Printer-Scanner/dp/B000KERYXC/ref=sr_1_8,amazon,Xerox,amazon_Xerox_183,Xerox Phaser 6110MFP/X Multi-Function Color Printer/Copier/Scanner/Fax,https://m.media-amazon.com/images/I/41RrU97tT3L._AC_SX425_.jpg,https://m.media-amazon.com/images/I/41RrU97tT3L._AC_SX569_.jpg,https://m.media-amazon.com/images/I/41RrU97tT3L._AC_SX522_.jpg,https://m.media-amazon.com/images/I/41RrU97tT3L._AC_SX425_.jpg
https://www.amazon.sg/Brother-DCP-T226-All-One-Refillable/dp/B0B38N9YZS/ref=sr_1_10,amazon,Xerox,amazon_Xerox_184,Brother DCP-T226 - A4 All-in-One Color Refillable Ink Tank Printer. Print/Scan/Copy. White color,https://m.media-amazon.com/images/I/61jj77bl7uL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/61jj77bl7uL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/61jj77bl7uL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/61jj77bl7uL._AC_SX425_.jpg
https://www.amazon.sg/Canon-Wireless-Portable-Printer-50-Sheet/dp/B0F1Z1VLV6/ref=sr_1_7,amazon,Xerox,amazon_Xerox_185,"Canon PIXMA TR160 Wireless Portable Printer, 50-Sheet Paper Tray and 1.44"" Display",https://m.media-amazon.com/images/I/71s1EKnnDmL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/71s1EKnnDmL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/71s1EKnnDmL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/71s1EKnnDmL._AC_SX425_.jpg
https://www.amazon.sg/Xerox-Phaser-3500B-printer-laser/dp/B000B88X00/ref=sr_1_3,amazon,Xerox,amazon_Xerox_186,Xerox Phaser 3500B - printer - B/W - laser (3500/B),https://m.media-amazon.com/images/I/31FVdvMPjJL._AC_.jpg,https://m.media-amazon.com/images/I/31FVdvMPjJL._AC_.jpg,,
https://www.amazon.sg/Brother-HL-L2460DW-Single-Function-Printer/dp/B0CV4YX3P3/ref=sr_1_6,amazon,Xerox,amazon_Xerox_187,Brother HL-L2460DW Single Function Mono Laser Printer,https://m.media-amazon.com/images/I/61+zYgrTvlL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/61+zYgrTvlL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/61+zYgrTvlL._AC_SY355_.jpg,https://m.media-amazon.com/images/I/61+zYgrTvlL._AC_SX425_.jpg
https://www.amazon.sg/Xerox-B410-Printer-Letter-Certified/dp/B0C8BNY3CW/ref=sr_1_2,amazon,Xerox,amazon_Xerox_188,"Xerox B410 Printer, Laser, Print, Letter, Energy Star Certified, UP to 50PPM",https://m.media-amazon.com/images/I/616W3L6VbwL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/616W3L6VbwL._AC_SX450_.jpg,https://m.media-amazon.com/images/I/616W3L6VbwL._AC_SX522_.jpg,https://m.media-amazon.com/images/I/616W3L6VbwL._AC_SX569_.jpg
https://www.amazon.sg/Xerox-C410DN-Printer-Letter-Certified/dp/B0C8BLXJ85/ref=sr_1_4,amazon,Xerox,amazon_Xerox_189,"Xerox C410DN Color Printer, Laser, Print, Letter, Energy Star Certified, UP to 42PPM",https://m.media-amazon.com/images/I/61v1d+dnglL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/61v1d+dnglL._AC_SX450_.jpg,https://m.media-amazon.com/images/I/61v1d+dnglL._AC_SX425_.jpg,https://m.media-amazon.com/images/I/61v1d+dnglL._AC_SX679_.jpg
https://www.amazon.sg/Brother-DCP-L2640DW-Multi-Function-Printer/dp/B0CV3VZVRL/ref=sr_1_1,amazon,Xerox,amazon_Xerox_190,"Brother DCP-L2640DW Multi Function Mono Laser Printer, Print, Scan, Copy",https://m.media-amazon.com/images/I/61d8MkaCR3L._AC_SX679_.jpg,https://m.media-amazon.com/images/I/61d8MkaCR3L._AC_SX466_.jpg,https://m.media-amazon.com/images/I/61d8MkaCR3L._AC_SY450_.jpg,https://m.media-amazon.com/images/I/61d8MkaCR3L._AC_SX522_.jpg
https://www.ebay.com/itm/226881490184,ebay,Xerox,ebay_Xerox_201,Xerox VersaLink B7130 copier printer scanner -  30 ppm black and white | eBay,https://i.ebayimg.com/images/g/cI8AAeSwaIFof-lq/s-l400.jpg,https://i.ebayimg.com/images/g/cI8AAeSwaIFof-lq/s-l1600.webp,https://i.ebayimg.com/images/g/cI8AAeSwaIFof-lq/s-l140.webp,https://i.ebayimg.com/images/g/YBYAAeSwByNof-lq/s-l140.webp
https://www.ebay.com/itm/167765593612,ebay,Xerox,ebay_Xerox_202,Xerox AltaLink C8030 Laser Color Printer Copier Scan Duplex 30PPM 12x18 170k | eBay,https://i.ebayimg.com/images/g/YSwAAeSw4oFouFvL/s-l400.jpg,https://i.ebayimg.com/images/g/YSwAAeSw4oFouFvL/s-l500.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/BboAAOSw9sNmIx6V/s-l100.jpg
https://www.ebay.com/itm/226941790262,ebay,Xerox,ebay_Xerox_203,Xerox AltaLink C8145 color copier printer scanner  45 ppm color - Only 12K meter | eBay,https://i.ebayimg.com/images/g/kBIAAOSwcZNoFOsm/s-l400.jpg,https://i.ebayimg.com/images/g/kBIAAOSwcZNoFOsm/s-l1600.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/GA4AAOSwYbldKMqx/s-l100.jpg
https://www.ebay.com/itm/395669186396,ebay,Xerox,ebay_Xerox_204,"Xerox VersaLink C405 Laser Color MultiFunction Printer,With Toner | eBay",https://i.ebayimg.com/images/g/SxgAAOSwXQZm4ElC/s-l400.jpg,https://i.ebayimg.com/images/g/SxgAAOSwXQZm4ElC/s-l1600.webp,https://i.ebayimg.com/thumbs/images/g/SA4AAeSwzTloph53/s-l96.jpg,https://i.ebayimg.com/thumbs/images/g/Ht8AAOSw-Bxm4PbR/s-l96.jpg
https://www.ebay.com/itm/167765647804,ebay,Xerox,ebay_Xerox_205,Xerox AltaLink C8155 Color Copier Printer Scanner. Very Clean. 484k | eBay,https://i.ebayimg.com/images/g/UYQAAeSwqjNouGG4/s-l400.jpg,https://i.ebayimg.com/images/g/UYQAAeSwqjNouGG4/s-l1600.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/7N0AAOSw6eJdBDX2/s-l100.jpg
https://www.ebay.com/itm/226980908594,ebay,Xerox,ebay_Xerox_206,Xerox AltaLink C8170 color copier printer scanner  70 ppm color - Only 74K meter | eBay,https://i.ebayimg.com/images/g/zVQAAeSwYfpozBSc/s-l400.jpg,https://i.ebayimg.com/images/g/zVQAAeSwYfpozBSc/s-l500.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/7N0AAOSw6eJdBDX2/s-l100.jpg
https://www.ebay.com/itm/157293968089,ebay,Xerox,ebay_Xerox_207,Xerox AltaLink C8155 Color Copier Printer Scanner. Very Clean. 253k | eBay,https://i.ebayimg.com/images/g/LQ8AAeSwUQ9ouGM8/s-l400.jpg,https://i.ebayimg.com/images/g/LQ8AAeSwUQ9ouGM8/s-l1600.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/Z5AAAeSwfVxohAeJ/s-l100.jpg
https://www.ebay.com/itm/187756394162,ebay,Xerox,ebay_Xerox_208,Printer Xerox Versalink B405 | eBay,https://i.ebayimg.com/images/g/dYIAAeSwghlpHbjd/s-l400.jpg,https://i.ebayimg.com/images/g/dYIAAeSwghlpHbjd/s-l500.webp,https://i.ebayimg.com/images/g/1tIAAOSweM5kSqsu/s-l200.jpg,https://i.ebayimg.com/images/g/0lcAAOSwFuxlhJGO/s-l100.jpg
https://www.ebay.com/itm/227096539994,ebay,Xerox,ebay_Xerox_209,Xerox PrimeLink C9070 copier printer scanner - 70 ppm color  - Only 100K meter | eBay,https://i.ebayimg.com/images/g/2~YAAOSw63VnRyHD/s-l400.jpg,https://i.ebayimg.com/images/g/2~YAAOSw63VnRyHD/s-l1600.webp,https://i.ebayimg.com/images/g/og4AAeSwKNRpDUo-/s-l200.jpg,https://i.ebayimg.com/images/g/5bAAAOSwEbBd1X2O/s-l100.jpg
https://ebay.com/itm/123456,ebay,Xerox,ebay_Xerox_210,We looked everywhere.,http://i.ebayimg.com/00/s/MTUwMFgxMjAw/z/8ScAAOSw-ANlzRIW/$_1.PNG?set_id=2,,,
